language,template_id,subject,object,context,level_-2_text,level_-1_text,level_0_text,level_1_text,level_2_text
ar,64,ana,hatha al-film,baad al-ijtima,ana yakrah hatha al-film baad al-ijtima.,ana la yastahsin hatha al-film baad al-ijtima.,ana ghayr mubal bi hatha al-film baad al-ijtima.,ana yastahsin hatha al-film baad al-ijtima.,ana yuhib hatha al-film baad al-ijtima.
ar,65,al-naqid,al-iqtirah,baad al-ijtima,al-naqid yakrah al-iqtirah baad al-ijtima.,al-naqid la yastahsin al-iqtirah baad al-ijtima.,al-naqid ghayr mubal bi al-iqtirah baad al-ijtima.,al-naqid yastahsin al-iqtirah baad al-ijtima.,al-naqid yuhib al-iqtirah baad al-ijtima.
ar,66,al-mustakhdim,al-iqtirah,sirran,al-mustakhdim yakrah al-iqtirah sirran.,al-mustakhdim la yastahsin al-iqtirah sirran.,al-mustakhdim ghayr mubal bi al-iqtirah sirran.,al-mustakhdim yastahsin al-iqtirah sirran.,al-mustakhdim yuhib al-iqtirah sirran.
ar,67,al-mustakhdim,al-ughniya,fi al-nihaya,al-mustakhdim yakrah al-ughniya fi al-nihaya.,al-mustakhdim la yastahsin al-ughniya fi al-nihaya.,al-mustakhdim ghayr mubal bi al-ughniya fi al-nihaya.,al-mustakhdim yastahsin al-ughniya fi al-nihaya.,al-mustakhdim yuhib al-ughniya fi al-nihaya.
ar,68,al-mustakhdim,al-ughniya,sirran,al-mustakhdim yakrah al-ughniya sirran.,al-mustakhdim la yastahsin al-ughniya sirran.,al-mustakhdim ghayr mubal bi al-ughniya sirran.,al-mustakhdim yastahsin al-ughniya sirran.,al-mustakhdim yuhib al-ughniya sirran.
ar,69,al-naqid,anta,athna al-murajaa,al-naqid yakrah anta athna al-murajaa.,al-naqid la yastahsin anta athna al-murajaa.,al-naqid ghayr mubal bi anta athna al-murajaa.,al-naqid yastahsin anta athna al-murajaa.,al-naqid yuhib anta athna al-murajaa.
ar,70,al-muallim,hatha al-nizam,alyawm,al-muallim yakrah hatha al-nizam alyawm.,al-muallim la yastahsin hatha al-nizam alyawm.,al-muallim ghayr mubal bi hatha al-nizam alyawm.,al-muallim yastahsin hatha al-nizam alyawm.,al-muallim yuhib hatha al-nizam alyawm.
ar,71,hiya,hatha al-film,athna al-murajaa,hiya yakrah hatha al-film athna al-murajaa.,hiya la yastahsin hatha al-film athna al-murajaa.,hiya ghayr mubal bi hatha al-film athna al-murajaa.,hiya yastahsin hatha al-film athna al-murajaa.,hiya yuhib hatha al-film athna al-murajaa.
ar,72,al-bahith,hathihi al-madina,alyawm,al-bahith yakrah hathihi al-madina alyawm.,al-bahith la yastahsin hathihi al-madina alyawm.,al-bahith ghayr mubal bi hathihi al-madina alyawm.,al-bahith yastahsin hathihi al-madina alyawm.,al-bahith yuhib hathihi al-madina alyawm.
ar,73,ana,al-ughniya,athna al-murajaa,ana yakrah al-ughniya athna al-murajaa.,ana la yastahsin al-ughniya athna al-murajaa.,ana ghayr mubal bi al-ughniya athna al-murajaa.,ana yastahsin al-ughniya athna al-murajaa.,ana yuhib al-ughniya athna al-murajaa.
ar,74,al-bahith,al-tasmim,athna al-murajaa,al-bahith yakrah al-tasmim athna al-murajaa.,al-bahith la yastahsin al-tasmim athna al-murajaa.,al-bahith ghayr mubal bi al-tasmim athna al-murajaa.,al-bahith yastahsin al-tasmim athna al-murajaa.,al-bahith yuhib al-tasmim athna al-murajaa.
ar,75,al-bahith,hatha al-film,athna al-murajaa,al-bahith yakrah hatha al-film athna al-murajaa.,al-bahith la yastahsin hatha al-film athna al-murajaa.,al-bahith ghayr mubal bi hatha al-film athna al-murajaa.,al-bahith yastahsin hatha al-film athna al-murajaa.,al-bahith yuhib hatha al-film athna al-murajaa.
ar,76,al-bahith,al-tasmim,baad al-ijtima,al-bahith yakrah al-tasmim baad al-ijtima.,al-bahith la yastahsin al-tasmim baad al-ijtima.,al-bahith ghayr mubal bi al-tasmim baad al-ijtima.,al-bahith yastahsin al-tasmim baad al-ijtima.,al-bahith yuhib al-tasmim baad al-ijtima.
ar,77,hiya,anta,sirran,hiya yakrah anta sirran.,hiya la yastahsin anta sirran.,hiya ghayr mubal bi anta sirran.,hiya yastahsin anta sirran.,hiya yuhib anta sirran.
ar,78,ana,al-tasmim,sirran,ana yakrah al-tasmim sirran.,ana la yastahsin al-tasmim sirran.,ana ghayr mubal bi al-tasmim sirran.,ana yastahsin al-tasmim sirran.,ana yuhib al-tasmim sirran.
ar,79,al-bahith,anta,fi al-nihaya,al-bahith yakrah anta fi al-nihaya.,al-bahith la yastahsin anta fi al-nihaya.,al-bahith ghayr mubal bi anta fi al-nihaya.,al-bahith yastahsin anta fi al-nihaya.,al-bahith yuhib anta fi al-nihaya.
ar,80,ana,al-iqtirah,alyawm,ana yakrah al-iqtirah alyawm.,ana la yastahsin al-iqtirah alyawm.,ana ghayr mubal bi al-iqtirah alyawm.,ana yastahsin al-iqtirah alyawm.,ana yuhib al-iqtirah alyawm.
ar,81,al-jar,al-iqtirah,athna al-murajaa,al-jar yakrah al-iqtirah athna al-murajaa.,al-jar la yastahsin al-iqtirah athna al-murajaa.,al-jar ghayr mubal bi al-iqtirah athna al-murajaa.,al-jar yastahsin al-iqtirah athna al-murajaa.,al-jar yuhib al-iqtirah athna al-murajaa.
ar,82,al-muallim,hatha al-film,fi al-nihaya,al-muallim yakrah hatha al-film fi al-nihaya.,al-muallim la yastahsin hatha al-film fi al-nihaya.,al-muallim ghayr mubal bi hatha al-film fi al-nihaya.,al-muallim yastahsin hatha al-film fi al-nihaya.,al-muallim yuhib hatha al-film fi al-nihaya.
ar,83,al-muallim,hatha al-film,alyawm,al-muallim yakrah hatha al-film alyawm.,al-muallim la yastahsin hatha al-film alyawm.,al-muallim ghayr mubal bi hatha al-film alyawm.,al-muallim yastahsin hatha al-film alyawm.,al-muallim yuhib hatha al-film alyawm.
ar,84,al-jar,al-ughniya,alyawm,al-jar yakrah al-ughniya alyawm.,al-jar la yastahsin al-ughniya alyawm.,al-jar ghayr mubal bi al-ughniya alyawm.,al-jar yastahsin al-ughniya alyawm.,al-jar yuhib al-ughniya alyawm.
ar,85,hiya,anta,alyawm,hiya yakrah anta alyawm.,hiya la yastahsin anta alyawm.,hiya ghayr mubal bi anta alyawm.,hiya yastahsin anta alyawm.,hiya yuhib anta alyawm.
ar,86,ana,anta,baad al-ijtima,ana yakrah anta baad al-ijtima.,ana la yastahsin anta baad al-ijtima.,ana ghayr mubal bi anta baad al-ijtima.,ana yastahsin anta baad al-ijtima.,ana yuhib anta baad al-ijtima.
ar,87,al-bahith,hathihi al-madina,athna al-murajaa,al-bahith yakrah hathihi al-madina athna al-murajaa.,al-bahith la yastahsin hathihi al-madina athna al-murajaa.,al-bahith ghayr mubal bi hathihi al-madina athna al-murajaa.,al-bahith yastahsin hathihi al-madina athna al-murajaa.,al-bahith yuhib hathihi al-madina athna al-murajaa.
ar,88,al-mustakhdim,al-iqtirah,baad al-ijtima,al-mustakhdim yakrah al-iqtirah baad al-ijtima.,al-mustakhdim la yastahsin al-iqtirah baad al-ijtima.,al-mustakhdim ghayr mubal bi al-iqtirah baad al-ijtima.,al-mustakhdim yastahsin al-iqtirah baad al-ijtima.,al-mustakhdim yuhib al-iqtirah baad al-ijtima.
ar,89,al-naqid,hathihi al-fikra,sirran,al-naqid yakrah hathihi al-fikra sirran.,al-naqid la yastahsin hathihi al-fikra sirran.,al-naqid ghayr mubal bi hathihi al-fikra sirran.,al-naqid yastahsin hathihi al-fikra sirran.,al-naqid yuhib hathihi al-fikra sirran.
ar,90,al-mustakhdim,anta,baad al-ijtima,al-mustakhdim yakrah anta baad al-ijtima.,al-mustakhdim la yastahsin anta baad al-ijtima.,al-mustakhdim ghayr mubal bi anta baad al-ijtima.,al-mustakhdim yastahsin anta baad al-ijtima.,al-mustakhdim yuhib anta baad al-ijtima.
ar,91,al-bahith,anta,baad al-ijtima,al-bahith yakrah anta baad al-ijtima.,al-bahith la yastahsin anta baad al-ijtima.,al-bahith ghayr mubal bi anta baad al-ijtima.,al-bahith yastahsin anta baad al-ijtima.,al-bahith yuhib anta baad al-ijtima.
ar,92,al-mustakhdim,hatha al-film,athna al-murajaa,al-mustakhdim yakrah hatha al-film athna al-murajaa.,al-mustakhdim la yastahsin hatha al-film athna al-murajaa.,al-mustakhdim ghayr mubal bi hatha al-film athna al-murajaa.,al-mustakhdim yastahsin hatha al-film athna al-murajaa.,al-mustakhdim yuhib hatha al-film athna al-murajaa.
ar,93,al-bahith,hatha al-film,fi al-nihaya,al-bahith yakrah hatha al-film fi al-nihaya.,al-bahith la yastahsin hatha al-film fi al-nihaya.,al-bahith ghayr mubal bi hatha al-film fi al-nihaya.,al-bahith yastahsin hatha al-film fi al-nihaya.,al-bahith yuhib hatha al-film fi al-nihaya.
ar,94,al-mustakhdim,hathihi al-madina,fi al-nihaya,al-mustakhdim yakrah hathihi al-madina fi al-nihaya.,al-mustakhdim la yastahsin hathihi al-madina fi al-nihaya.,al-mustakhdim ghayr mubal bi hathihi al-madina fi al-nihaya.,al-mustakhdim yastahsin hathihi al-madina fi al-nihaya.,al-mustakhdim yuhib hathihi al-madina fi al-nihaya.
ar,95,ana,hathihi al-fikra,fi al-nihaya,ana yakrah hathihi al-fikra fi al-nihaya.,ana la yastahsin hathihi al-fikra fi al-nihaya.,ana ghayr mubal bi hathihi al-fikra fi al-nihaya.,ana yastahsin hathihi al-fikra fi al-nihaya.,ana yuhib hathihi al-fikra fi al-nihaya.
ar,96,al-muallim,anta,sirran,al-muallim yakrah anta sirran.,al-muallim la yastahsin anta sirran.,al-muallim ghayr mubal bi anta sirran.,al-muallim yastahsin anta sirran.,al-muallim yuhib anta sirran.
ar,97,al-fannan,al-iqtirah,baad al-ijtima,al-fannan yakrah al-iqtirah baad al-ijtima.,al-fannan la yastahsin al-iqtirah baad al-ijtima.,al-fannan ghayr mubal bi al-iqtirah baad al-ijtima.,al-fannan yastahsin al-iqtirah baad al-ijtima.,al-fannan yuhib al-iqtirah baad al-ijtima.
ar,98,al-fannan,anta,alyawm,al-fannan yakrah anta alyawm.,al-fannan la yastahsin anta alyawm.,al-fannan ghayr mubal bi anta alyawm.,al-fannan yastahsin anta alyawm.,al-fannan yuhib anta alyawm.
ar,99,al-fannan,al-ughniya,fi al-nihaya,al-fannan yakrah al-ughniya fi al-nihaya.,al-fannan la yastahsin al-ughniya fi al-nihaya.,al-fannan ghayr mubal bi al-ughniya fi al-nihaya.,al-fannan yastahsin al-ughniya fi al-nihaya.,al-fannan yuhib al-ughniya fi al-nihaya.
ar,100,al-bahith,al-ughniya,athna al-murajaa,al-bahith yakrah al-ughniya athna al-murajaa.,al-bahith la yastahsin al-ughniya athna al-murajaa.,al-bahith ghayr mubal bi al-ughniya athna al-murajaa.,al-bahith yastahsin al-ughniya athna al-murajaa.,al-bahith yuhib al-ughniya athna al-murajaa.
ar,101,ana,al-iqtirah,sirran,ana yakrah al-iqtirah sirran.,ana la yastahsin al-iqtirah sirran.,ana ghayr mubal bi al-iqtirah sirran.,ana yastahsin al-iqtirah sirran.,ana yuhib al-iqtirah sirran.
ar,102,al-muallim,hatha al-nizam,sirran,al-muallim yakrah hatha al-nizam sirran.,al-muallim la yastahsin hatha al-nizam sirran.,al-muallim ghayr mubal bi hatha al-nizam sirran.,al-muallim yastahsin hatha al-nizam sirran.,al-muallim yuhib hatha al-nizam sirran.
ar,103,al-naqid,al-iqtirah,fi al-nihaya,al-naqid yakrah al-iqtirah fi al-nihaya.,al-naqid la yastahsin al-iqtirah fi al-nihaya.,al-naqid ghayr mubal bi al-iqtirah fi al-nihaya.,al-naqid yastahsin al-iqtirah fi al-nihaya.,al-naqid yuhib al-iqtirah fi al-nihaya.
ar,104,al-naqid,hatha al-film,athna al-murajaa,al-naqid yakrah hatha al-film athna al-murajaa.,al-naqid la yastahsin hatha al-film athna al-murajaa.,al-naqid ghayr mubal bi hatha al-film athna al-murajaa.,al-naqid yastahsin hatha al-film athna al-murajaa.,al-naqid yuhib hatha al-film athna al-murajaa.
ar,105,ana,al-tasmim,fi al-nihaya,ana yakrah al-tasmim fi al-nihaya.,ana la yastahsin al-tasmim fi al-nihaya.,ana ghayr mubal bi al-tasmim fi al-nihaya.,ana yastahsin al-tasmim fi al-nihaya.,ana yuhib al-tasmim fi al-nihaya.
ar,106,al-muallim,anta,alyawm,al-muallim yakrah anta alyawm.,al-muallim la yastahsin anta alyawm.,al-muallim ghayr mubal bi anta alyawm.,al-muallim yastahsin anta alyawm.,al-muallim yuhib anta alyawm.
ar,107,al-bahith,anta,sirran,al-bahith yakrah anta sirran.,al-bahith la yastahsin anta sirran.,al-bahith ghayr mubal bi anta sirran.,al-bahith yastahsin anta sirran.,al-bahith yuhib anta sirran.
ar,108,ana,hatha al-film,alyawm,ana yakrah hatha al-film alyawm.,ana la yastahsin hatha al-film alyawm.,ana ghayr mubal bi hatha al-film alyawm.,ana yastahsin hatha al-film alyawm.,ana yuhib hatha al-film alyawm.
ar,109,hiya,hatha al-nizam,alyawm,hiya yakrah hatha al-nizam alyawm.,hiya la yastahsin hatha al-nizam alyawm.,hiya ghayr mubal bi hatha al-nizam alyawm.,hiya yastahsin hatha al-nizam alyawm.,hiya yuhib hatha al-nizam alyawm.
ar,110,al-bahith,hatha al-nizam,athna al-murajaa,al-bahith yakrah hatha al-nizam athna al-murajaa.,al-bahith la yastahsin hatha al-nizam athna al-murajaa.,al-bahith ghayr mubal bi hatha al-nizam athna al-murajaa.,al-bahith yastahsin hatha al-nizam athna al-murajaa.,al-bahith yuhib hatha al-nizam athna al-murajaa.
ar,111,al-fannan,al-ughniya,baad al-ijtima,al-fannan yakrah al-ughniya baad al-ijtima.,al-fannan la yastahsin al-ughniya baad al-ijtima.,al-fannan ghayr mubal bi al-ughniya baad al-ijtima.,al-fannan yastahsin al-ughniya baad al-ijtima.,al-fannan yuhib al-ughniya baad al-ijtima.
ar,112,al-bahith,al-iqtirah,sirran,al-bahith yakrah al-iqtirah sirran.,al-bahith la yastahsin al-iqtirah sirran.,al-bahith ghayr mubal bi al-iqtirah sirran.,al-bahith yastahsin al-iqtirah sirran.,al-bahith yuhib al-iqtirah sirran.
ar,113,al-naqid,hathihi al-fikra,athna al-murajaa,al-naqid yakrah hathihi al-fikra athna al-murajaa.,al-naqid la yastahsin hathihi al-fikra athna al-murajaa.,al-naqid ghayr mubal bi hathihi al-fikra athna al-murajaa.,al-naqid yastahsin hathihi al-fikra athna al-murajaa.,al-naqid yuhib hathihi al-fikra athna al-murajaa.
ar,114,hiya,al-ughniya,athna al-murajaa,hiya yakrah al-ughniya athna al-murajaa.,hiya la yastahsin al-ughniya athna al-murajaa.,hiya ghayr mubal bi al-ughniya athna al-murajaa.,hiya yastahsin al-ughniya athna al-murajaa.,hiya yuhib al-ughniya athna al-murajaa.
ar,115,al-naqid,hathihi al-fikra,alyawm,al-naqid yakrah hathihi al-fikra alyawm.,al-naqid la yastahsin hathihi al-fikra alyawm.,al-naqid ghayr mubal bi hathihi al-fikra alyawm.,al-naqid yastahsin hathihi al-fikra alyawm.,al-naqid yuhib hathihi al-fikra alyawm.
ar,116,ana,hathihi al-fikra,sirran,ana yakrah hathihi al-fikra sirran.,ana la yastahsin hathihi al-fikra sirran.,ana ghayr mubal bi hathihi al-fikra sirran.,ana yastahsin hathihi al-fikra sirran.,ana yuhib hathihi al-fikra sirran.
ar,117,al-jar,al-iqtirah,fi al-nihaya,al-jar yakrah al-iqtirah fi al-nihaya.,al-jar la yastahsin al-iqtirah fi al-nihaya.,al-jar ghayr mubal bi al-iqtirah fi al-nihaya.,al-jar yastahsin al-iqtirah fi al-nihaya.,al-jar yuhib al-iqtirah fi al-nihaya.
ar,118,al-muallim,hathihi al-fikra,athna al-murajaa,al-muallim yakrah hathihi al-fikra athna al-murajaa.,al-muallim la yastahsin hathihi al-fikra athna al-murajaa.,al-muallim ghayr mubal bi hathihi al-fikra athna al-murajaa.,al-muallim yastahsin hathihi al-fikra athna al-murajaa.,al-muallim yuhib hathihi al-fikra athna al-murajaa.
ar,119,hiya,hatha al-film,alyawm,hiya yakrah hatha al-film alyawm.,hiya la yastahsin hatha al-film alyawm.,hiya ghayr mubal bi hatha al-film alyawm.,hiya yastahsin hatha al-film alyawm.,hiya yuhib hatha al-film alyawm.
ar,120,hiya,hathihi al-madina,fi al-nihaya,hiya yakrah hathihi al-madina fi al-nihaya.,hiya la yastahsin hathihi al-madina fi al-nihaya.,hiya ghayr mubal bi hathihi al-madina fi al-nihaya.,hiya yastahsin hathihi al-madina fi al-nihaya.,hiya yuhib hathihi al-madina fi al-nihaya.
ar,121,hiya,al-tasmim,fi al-nihaya,hiya yakrah al-tasmim fi al-nihaya.,hiya la yastahsin al-tasmim fi al-nihaya.,hiya ghayr mubal bi al-tasmim fi al-nihaya.,hiya yastahsin al-tasmim fi al-nihaya.,hiya yuhib al-tasmim fi al-nihaya.
ar,122,al-fannan,hatha al-film,sirran,al-fannan yakrah hatha al-film sirran.,al-fannan la yastahsin hatha al-film sirran.,al-fannan ghayr mubal bi hatha al-film sirran.,al-fannan yastahsin hatha al-film sirran.,al-fannan yuhib hatha al-film sirran.
ar,123,al-mustakhdim,al-tasmim,athna al-murajaa,al-mustakhdim yakrah al-tasmim athna al-murajaa.,al-mustakhdim la yastahsin al-tasmim athna al-murajaa.,al-mustakhdim ghayr mubal bi al-tasmim athna al-murajaa.,al-mustakhdim yastahsin al-tasmim athna al-murajaa.,al-mustakhdim yuhib al-tasmim athna al-murajaa.
ar,124,al-naqid,hatha al-nizam,baad al-ijtima,al-naqid yakrah hatha al-nizam baad al-ijtima.,al-naqid la yastahsin hatha al-nizam baad al-ijtima.,al-naqid ghayr mubal bi hatha al-nizam baad al-ijtima.,al-naqid yastahsin hatha al-nizam baad al-ijtima.,al-naqid yuhib hatha al-nizam baad al-ijtima.
ar,125,hiya,al-tasmim,alyawm,hiya yakrah al-tasmim alyawm.,hiya la yastahsin al-tasmim alyawm.,hiya ghayr mubal bi al-tasmim alyawm.,hiya yastahsin al-tasmim alyawm.,hiya yuhib al-tasmim alyawm.
ar,126,al-jar,al-tasmim,baad al-ijtima,al-jar yakrah al-tasmim baad al-ijtima.,al-jar la yastahsin al-tasmim baad al-ijtima.,al-jar ghayr mubal bi al-tasmim baad al-ijtima.,al-jar yastahsin al-tasmim baad al-ijtima.,al-jar yuhib al-tasmim baad al-ijtima.
ar,127,hiya,hatha al-nizam,athna al-murajaa,hiya yakrah hatha al-nizam athna al-murajaa.,hiya la yastahsin hatha al-nizam athna al-murajaa.,hiya ghayr mubal bi hatha al-nizam athna al-murajaa.,hiya yastahsin hatha al-nizam athna al-murajaa.,hiya yuhib hatha al-nizam athna al-murajaa.
ar,128,al-mustakhdim,hathihi al-madina,athna al-murajaa,al-mustakhdim yakrah hathihi al-madina athna al-murajaa.,al-mustakhdim la yastahsin hathihi al-madina athna al-murajaa.,al-mustakhdim ghayr mubal bi hathihi al-madina athna al-murajaa.,al-mustakhdim yastahsin hathihi al-madina athna al-murajaa.,al-mustakhdim yuhib hathihi al-madina athna al-murajaa.
ar,129,ana,hatha al-film,sirran,ana yakrah hatha al-film sirran.,ana la yastahsin hatha al-film sirran.,ana ghayr mubal bi hatha al-film sirran.,ana yastahsin hatha al-film sirran.,ana yuhib hatha al-film sirran.
ar,130,al-bahith,al-iqtirah,athna al-murajaa,al-bahith yakrah al-iqtirah athna al-murajaa.,al-bahith la yastahsin al-iqtirah athna al-murajaa.,al-bahith ghayr mubal bi al-iqtirah athna al-murajaa.,al-bahith yastahsin al-iqtirah athna al-murajaa.,al-bahith yuhib al-iqtirah athna al-murajaa.
ar,131,al-jar,hatha al-nizam,alyawm,al-jar yakrah hatha al-nizam alyawm.,al-jar la yastahsin hatha al-nizam alyawm.,al-jar ghayr mubal bi hatha al-nizam alyawm.,al-jar yastahsin hatha al-nizam alyawm.,al-jar yuhib hatha al-nizam alyawm.
ar,132,al-bahith,al-ughniya,baad al-ijtima,al-bahith yakrah al-ughniya baad al-ijtima.,al-bahith la yastahsin al-ughniya baad al-ijtima.,al-bahith ghayr mubal bi al-ughniya baad al-ijtima.,al-bahith yastahsin al-ughniya baad al-ijtima.,al-bahith yuhib al-ughniya baad al-ijtima.
ar,133,ana,al-iqtirah,baad al-ijtima,ana yakrah al-iqtirah baad al-ijtima.,ana la yastahsin al-iqtirah baad al-ijtima.,ana ghayr mubal bi al-iqtirah baad al-ijtima.,ana yastahsin al-iqtirah baad al-ijtima.,ana yuhib al-iqtirah baad al-ijtima.
ar,134,al-muallim,al-ughniya,fi al-nihaya,al-muallim yakrah al-ughniya fi al-nihaya.,al-muallim la yastahsin al-ughniya fi al-nihaya.,al-muallim ghayr mubal bi al-ughniya fi al-nihaya.,al-muallim yastahsin al-ughniya fi al-nihaya.,al-muallim yuhib al-ughniya fi al-nihaya.
ar,135,hiya,al-ughniya,alyawm,hiya yakrah al-ughniya alyawm.,hiya la yastahsin al-ughniya alyawm.,hiya ghayr mubal bi al-ughniya alyawm.,hiya yastahsin al-ughniya alyawm.,hiya yuhib al-ughniya alyawm.
ar,136,hiya,al-tasmim,athna al-murajaa,hiya yakrah al-tasmim athna al-murajaa.,hiya la yastahsin al-tasmim athna al-murajaa.,hiya ghayr mubal bi al-tasmim athna al-murajaa.,hiya yastahsin al-tasmim athna al-murajaa.,hiya yuhib al-tasmim athna al-murajaa.
ar,137,hiya,hatha al-film,fi al-nihaya,hiya yakrah hatha al-film fi al-nihaya.,hiya la yastahsin hatha al-film fi al-nihaya.,hiya ghayr mubal bi hatha al-film fi al-nihaya.,hiya yastahsin hatha al-film fi al-nihaya.,hiya yuhib hatha al-film fi al-nihaya.
ar,138,al-jar,hatha al-nizam,baad al-ijtima,al-jar yakrah hatha al-nizam baad al-ijtima.,al-jar la yastahsin hatha al-nizam baad al-ijtima.,al-jar ghayr mubal bi hatha al-nizam baad al-ijtima.,al-jar yastahsin hatha al-nizam baad al-ijtima.,al-jar yuhib hatha al-nizam baad al-ijtima.
ar,139,ana,al-ughniya,alyawm,ana yakrah al-ughniya alyawm.,ana la yastahsin al-ughniya alyawm.,ana ghayr mubal bi al-ughniya alyawm.,ana yastahsin al-ughniya alyawm.,ana yuhib al-ughniya alyawm.
ar,140,al-bahith,hatha al-nizam,sirran,al-bahith yakrah hatha al-nizam sirran.,al-bahith la yastahsin hatha al-nizam sirran.,al-bahith ghayr mubal bi hatha al-nizam sirran.,al-bahith yastahsin hatha al-nizam sirran.,al-bahith yuhib hatha al-nizam sirran.
ar,141,al-fannan,hatha al-film,fi al-nihaya,al-fannan yakrah hatha al-film fi al-nihaya.,al-fannan la yastahsin hatha al-film fi al-nihaya.,al-fannan ghayr mubal bi hatha al-film fi al-nihaya.,al-fannan yastahsin hatha al-film fi al-nihaya.,al-fannan yuhib hatha al-film fi al-nihaya.
ar,142,al-fannan,hathihi al-fikra,alyawm,al-fannan yakrah hathihi al-fikra alyawm.,al-fannan la yastahsin hathihi al-fikra alyawm.,al-fannan ghayr mubal bi hathihi al-fikra alyawm.,al-fannan yastahsin hathihi al-fikra alyawm.,al-fannan yuhib hathihi al-fikra alyawm.
ar,143,al-naqid,al-iqtirah,alyawm,al-naqid yakrah al-iqtirah alyawm.,al-naqid la yastahsin al-iqtirah alyawm.,al-naqid ghayr mubal bi al-iqtirah alyawm.,al-naqid yastahsin al-iqtirah alyawm.,al-naqid yuhib al-iqtirah alyawm.
ar,144,al-muallim,hathihi al-fikra,sirran,al-muallim yakrah hathihi al-fikra sirran.,al-muallim la yastahsin hathihi al-fikra sirran.,al-muallim ghayr mubal bi hathihi al-fikra sirran.,al-muallim yastahsin hathihi al-fikra sirran.,al-muallim yuhib hathihi al-fikra sirran.
ar,145,al-fannan,al-iqtirah,alyawm,al-fannan yakrah al-iqtirah alyawm.,al-fannan la yastahsin al-iqtirah alyawm.,al-fannan ghayr mubal bi al-iqtirah alyawm.,al-fannan yastahsin al-iqtirah alyawm.,al-fannan yuhib al-iqtirah alyawm.
ar,146,al-bahith,hatha al-nizam,alyawm,al-bahith yakrah hatha al-nizam alyawm.,al-bahith la yastahsin hatha al-nizam alyawm.,al-bahith ghayr mubal bi hatha al-nizam alyawm.,al-bahith yastahsin hatha al-nizam alyawm.,al-bahith yuhib hatha al-nizam alyawm.
